firm;x1;x2;x3;x4;x5;x6;y2;y4;w1;w2;w3;w4;w5;w6;p2;p4;cost;rev
2;1076.297483;24272.26216;142.7;1458.727246;4871.750993;8598.562693;5588.703691;65970.56614;108.3910368;73.6814306;1723.401015;136.24;189.6251567;96.56066525;78.82632975;73.27866475;4103831.804;5274772
3;1907.406803;10777.97011;115.3;1625.491779;3217.281979;5758.868393;5995.724983;30518.65634;107.8946556;75.52878617;4082.135524;136.24;188.7645712;99.43338578;71.11717119;72.0439647;2891905.862;2625084
4;3141.2616;22479.36349;196.4;5334.461245;5601.702166;12708.00161;7208.575192;85356.53957;104.8333574;76.11367648;2795.098039;136.24;188.3755562;112.0181659;68.58942119;72.54747007;5794771.049;6686833
5;4935.695169;89277.6448;336.1;19141.99941;10985.38638;34075.50442;27128.17634;257055.7874;107.8877406;73.93521653;389.7738768;136.24;190.2181353;98.00573428;78.76718188;73.26579258;15301386.54;20970206
6;5204.909;20254.4155;384.8;5193.122431;6381.960996;11497.63152;22739.76212;76189.21157;107.8748927;73.23089623;3829.300699;136.24;191.4367299;97.67235522;67.5835126;70.69664969;6570496.402;6923155
9;1254.832805;40797.53138;91.3;2385.782443;3234.821273;10861.8101;6439.847191;60661.79281;110.7016006;73.54552833;3402.597403;136.24;197.2497207;84.90910256;66.13309095;78.65784671;5335418.283;5197413
10;1407.873712;23816.74953;213.7;3303.559894;3792.60371;11694.43291;9.410937136;65020.55392;109.9629879;74.24451427;3368.3;136.24;175.8399252;81.80293513;69.49361053;68.34386563;4716489.799;4444410
11;1437.64517;19702.27471;164.55;1593.012331;2454.192124;4382.887327;9754.518632;29797.2613;106.0212931;72.73216018;3494.615385;136.24;200.4787405;100.0344943;78.05121182;73.54816866;3307934.225;2952886
16;4513.735519;38285.56587;403.5;11536.09806;10552.41237;21855.14644;23956.93893;122965.7098;109.930012;76.29165023;6289.957746;136.24;183.1811069;101.1447414;84.85716834;69.45415118;11670275.66;10573397
19;1038.802948;15080.94145;54.8;199.7577804;1317.00127;2955.075902;6091.553198;19805.14349;103.2698263;73.65123748;6594.893617;136.24;176.0180681;90.60016186;73.64886842;75.68513707;2106168.545;1947591
21;1906.990613;18500.91921;149.8;1577.099237;3056.556197;7433.299241;6389.163413;41082.80317;104.7073849;73.03161451;1909.433962;136.24;188.4892539;83.41949603;78.63768189;71.47572156;3247935.281;3438852
22;2971.429506;70416.74126;273.7;10864.30564;9139.422313;22987.09957;4794.495625;149586.4548;107.3745816;74.65113985;4786.252505;136.24;185.1626635;96.9416173;360.8892646;76.78764776;12286582.7;13216674
23;3519.711507;11951.21229;218.7;3946.021726;4262.72061;10672.92919;1146.831224;63703.5685;106.7348842;75.3518537;3076.486247;136.24;181.1369611;104.4554594;385.5344978;73.21410888;4373637.521;5106143
24;925.4960489;27040.7468;105;1158.807986;3988.912093;6332.727686;8833.628058;50647.25461;108.2619425;72.42189036;2902.48;136.24;183.0970651;92.61899073;66.27684527;70.96031221;3838063.344;4179410
25;3185.840417;26665.1064;191.9;2678.266295;3355.640302;9704.41527;9586.90566;53924.80578;115.6614745;72.61621127;7399.162956;136.24;187.273519;87.44850163;74.56743869;74.43042107;5566643.514;4728517
26;2522.984405;16078.84607;194.1;2139.775396;2759.721991;6289.515464;8017.251994;29624.02918;109.7196635;72.88850176;2897.506925;136.24;188.2238452;105.060563;132.6809985;76.95934897;3482938.615;3343583
27;1927.180781;54532.28932;144;4518.51145;3451.479513;13655.10052;12701.35982;126514.0144;107.7802363;72.40614779;4174.723757;136.24;178.2862296;98.73762379;63.20512221;71.03880975;7336570.668;9790196
28;2890.110574;29272.07341;167.5;1210.275984;5288.915377;9800.533017;12604.48709;56765.63873;103.9174773;74.29149173;2279.28;136.24;187.3623264;94.54508336;76.45245643;70.27946992;4939202.1;4953103
29;1669.935367;22516.94764;97.6;4319.355549;3588.031109;11066.96884;3206.064289;57546.75939;107.619734;77.58356187;5312.5;136.24;190.7375318;96.53048943;83.62308919;77.93161678;4786304.117;4752813
32;2260.521049;30713.5643;210.88;2182.773048;5199.20325;10950.32605;2693.386842;71948.97845;110.5028419;73.36937446;2555.37428;136.24;199.3065946;85.71651027;93.72994479;71.4566782;5314346.558;5393686
33;3756.724001;30241.74916;242.2;7346.917205;4357.318516;8714.783049;15717.17801;78303.17348;106.5795624;74.08890234;5025.784476;136.24;187.2551189;95.96032803;75.14943201;72.93298274;6511360.637;6892021
36;6701.509367;21064.93325;438.9;13425.75602;8293.945639;15869.34595;35465.61621;107193.8606;108.035065;76.84600662;7166.159501;136.24;206.7718367;113.2318142;75.20247172;72.89252345;10828975.61;10480733
37;892.043003;7198.804181;42.7;1530.695831;1325.006266;4737.04008;592.1603136;22462.03247;105.8099214;75.7764743;21319.69697;136.24;183.0003549;78.9400612;89.00461377;78.55063883;2375198.911;1817112
38;2134.486766;60268.56384;188.3;6665.369935;6807.155695;15616.15179;14871.75223;119104.8031;109.4848672;73.46838414;5422.378753;136.24;192.3841049;94.17858507;77.70335213;71.78476248;9370947.555;9705495
40;3130.72322;58276.46104;237.2;5710.004404;2906.965816;16955.39422;12737.06715;128690.3007;108.0868464;73.68366101;6905.105396;136.24;190.6920001;97.98817764;79.16767559;72.89168606;9263998.306;10388817
41;1900.286857;60929.57666;150;5952.921315;5113.233397;23369.02709;1951.38293;149474.1241;107.333795;74.02288424;2365.322581;136.24;190.2172157;96.9121876;78.53660992;72.61945213;9117340.944;11007984
43;1103.674792;25127.96515;88.9;176.1597181;2961.254866;6567.670893;2315.427995;48037.1142;106.9844133;71.38146639;2452.918919;136.24;197.3314564;82.54591884;100.5373523;71.19518017;3280294.656;3652798
45;1504.592692;17179.93861;137.5;2015.208456;2526.425152;9410.902101;1191.234247;52021.99188;107.5885858;74.42034743;2738.983051;136.24;186.4613504;92.64813684;86.89306932;70.91266341;3434559.361;3792528
47;2345.189021;34831.23449;192.5;3966.559014;5319.276162;15934.45163;3581.543561;98453.83299;106.5926873;73.8169358;491.3617886;136.24;187.7377725;101.5963369;53.33091633;72.83511248;6073617.117;7361903
48;3408.696767;38177.63485;247.6;3862.22108;5916.752037;12941.16418;14472.01073;79788.5137;103.4040351;73.14353053;3200;136.24;187.9929006;93.94249265;68.24255581;72.82620932;6791461.598;6798302
49;1824.907925;23288.51717;180;2159.336465;3832.85568;8999.113836;771.4647135;59055.91177;108.9435786;73.47088644;2282.678571;136.24;192.7606012;93.41227235;74.96130282;72.78712446;4194361.381;4356340
50;1478.116589;20736.92272;93.5;133.5877863;2152.083892;6476.670762;5892.633233;46192.9216;106.9746468;73.99424788;3519.736842;136.24;190.0071014;97.03777675;80.45656012;73.51762742;3077222.349;3870095
51;3984.046741;42931.98647;294.25;11596.47681;4495.445716;17195.08463;10129.23581;72822.67187;102.6403621;74.937972;2152.605634;136.24;209.31469;105.9225486;75.68655865;73.61114146;8601778.221;6127207
56;3661.838514;42244.12403;495.8;6847.416324;7398.004935;21889.80781;5851.636635;171598.1138;108.5850724;74.20807206;1536.370079;136.24;191.7743949;93.54870143;82.21614396;72.90826642;8693611.3;12992020
57;5532.354996;28612.02194;277.3;5776.130358;7728.337784;17124.92224;12849.64708;105578.1224;108.2358237;73.84679085;4606.868132;136.24;192.5351948;97.44839024;74.58095884;73.43861423;7932902.659;8711850
60;3133.608057;35533.86881;330.6;10720.71345;7688.396606;22467.6213;15802.55383;67273.67713;104.6780561;75.92711096;9442.180294;136.24;202.3773455;102.1916727;97.52461637;73.14042;11460139.9;6461563
61;2212.46648;10856.59903;212.6;2248.120963;3826.873014;7542.44549;6971.318933;48802.14804;106.2691806;73.9629416;3918.357798;136.24;189.484663;94.45248518;85.27281649;72.87863635;3614966.332;4151098
62;1858.469595;28866.61762;250.4;1842.036113;4645.049021;8973.211502;1447.122133;59950.88848;108.2724197;73.70420145;2220.808383;136.24;190.7026463;95.63999772;86.35207569;72.87863635;4879882.487;4494101
63;1418.51896;18698.16659;143.6;3643.46007;5109.562284;11593.78042;1690.641607;66727.25441;108.5561803;73.68893595;4644.285714;136.24;191.7283102;95.60750701;78.98776383;73.33955283;4783241.613;5027287
64;1375.322191;15927.10791;109;169.4509689;2917.184467;4739.187709;3246.383045;35754.97182;107.6169649;73.83675722;4558;136.24;190.5287339;96.5383498;75.42609624;72.9948275;2857242.824;2854790
66;2216.443937;13885.70262;188.3;2559.189665;3886.511107;10423.48438;3269.514866;59997.85522;107.3543959;73.96298397;3663.187773;136.24;193.0727403;96.26456715;85.27289565;73.06724522;4057206.819;4662679
67;1605.440398;15233.88303;131.4;2952.921315;4356.5065;7008.179555;3499.454878;50086.66018;109.4297865;75.42902869;3687.5;136.24;188.5619414;107.0754019;79.70584269;71.69663514;3783478.466;3869972
