numb;cows;vet;unitCost;capCost;fixedCost;milkPerCow;quota;fatPct;protPct;cellCount;race;type;age
1;310;232732;4422569;1351885;1510792.19;8032.376581;2790000;4;3;242;large;orga;33
2;161;124162;2023760;1380161;617325.2555;8208.623168;1300000;4;3;219;large;conv;41
3;221;259346;2666980.8;1673280;790142.021;8640.26638;1724721;4.33;3.17;0;large;conv;50
4;169.2;139401;2237087;1018333;1409228.011;10262.4107;1600000;4.05;3.19;180;large;conv;50
5;292;258445;3513725;1797236;1375261.764;10612.07366;2930315;4.12;3.24;0;large;conv;50
6;201.5;142548;1834717;1007975;912380.5513;9017.860695;1127420;5.92;3.92;257;jersey;conv;73
7;164.2;97799;1623740;1042374;714584.0904;9089.891717;1054000;5.91;4.18;145;jersey;conv;50
8;186.7;148807;2088853;896864;1286036.302;9561.234762;1604324;4.04;3.27;570;large;conv;46
9;165;171374;1975686;854726;789268.7897;7976.659515;1021628;4.35;3.46;328;mixed;conv;54
10;170.8;136063;1799776;1000787;774053.4337;8133.532787;1058093;4.36;3.55;320;mixed;conv;46
11;145.2;118197;1468439;1251993;877934.1667;8904.563499;1104000;6.53;4.09;241;jersey;conv;42
12;144.2;39884;1540680.4;811400;829354.9594;9933.780374;1061258;4.53;3.49;255;mixed;conv;43
13;191;54081;2122930.1;1100295;742719.0046;7350.14;1400000;4.2;3.29;215;large;orga;40
14;144.4;87058;1828793;1021856;813803.894;8298.964335;1144766;3.88;3.21;236;large;orga;41
15;163.3;84889;1608128.5;750250;811728.8282;9311.87226;1448445;4.24;3.33;207;large;conv;44
16;129.9;34109;1382164;903195;660329.5021;8814.44542;1103999;4.13;3.39;280;large;conv;42
17;144.9;88481;1836231;997071;892985.4944;9838.732298;1321857;4.02;3.28;169;large;conv;42
18;102.1;16100;949906;631896;468396.7122;7280.084623;642939;4.32;3.34;338;mixed;orga;46
19;162;53703;1724172;958080;703104.0514;9408.695802;1418902;4.21;3.55;175;large;conv;29
20;180.3;53614;2088963;1032739;1108848.537;8898.802385;1454000;4.19;3.33;221;large;conv;41
21;164;115516;1918700;981386;852905.2338;8544.880061;1370425;4.19;3.32;322;large;conv;
22;199.9;167798;2391660;1327928;912778.5559;8943.65913;1740999;4.2;3.29;247;large;conv;48
23;227.8;160306;1993735;1146155;1028568.855;8204.034811;1462334;6.11;4.15;0;jersey;conv;41
24;189;168524;2198827;954213;1039428.673;9357.493016;1725000;4.37;3.3;140;large;conv;26
25;247;261450;3458104;1960770;1823156.286;10932.17518;2874058;4.01;3.19;0;large;conv;
26;174;85454;1940383.7;944119;813441.7595;9908.662874;1648045;4.44;3.46;180;large;conv;
27;157.2;44841;2134847;922622;624763.7655;7265.095356;884001;5.61;3.92;257;jersey;orga;53
28;229.1;130925;2753717.5;1200000;1041161.085;10264.73038;1704000;6.33;4;169;jersey;conv;
29;184;119538;2194916;1307301;1093764.334;9888.414946;1784001;4.08;3.24;161;large;conv;
30;173.7;121912;1807056.5;854700;1344251.836;9333.476051;1504000;4.1;3.28;160;large;conv;37
31;154;99383;1761542;1123000;702916.1828;9051.951623;1714000;4.45;3.43;184;large;conv;31
32;120;121627;1381847.5;750965;970919.4828;10783.01875;1200000;4.08;3.35;150;large;conv;38
33;200;66857;1711382;1288282;953009.416;8644.0009;1304001;6.05;4.18;130;jersey;conv;44
34;157.4;117011;1546625.5;1034744;926931.8989;8813.943837;1439000;4.02;3.28;162;jersey;conv;33
35;204.1;157761;2430554;1251998;992601.1127;9150.515875;1812800;3.99;3.35;231;large;conv;39
36;189.2;183412;2421375;1132738;608098.7002;9216.01834;1703999;3.92;3.32;208;large;conv;41
37;306;122394;3381138;1681925;2055254.844;8540.375163;2459587;3.96;3.27;330;large;conv;45
38;171.7;169333;2368210;1067726;1063683.49;9956.726558;1579000;3.94;3.3;100;large;conv;40
39;166.3;146670;1994087;770365;660746.1099;9876.882862;1552725;4.01;3.32;211;large;conv;37
40;217;112010;2176538.6;1075528;1675321.77;9198.035069;1921096;3.95;3.4;212;large;conv;37
41;159.5;119775;1730699.4;633662;955180.3606;9140.220752;1123943;6;3.92;194;jersey;conv;48
42;188.3;94265;1874536;926686;625027.1748;7553.177217;1057965;5.78;3.99;212;jersey;conv;45
43;220.9;69160;2974523.3;1127043;1994924.013;8074.115573;1703833;4.24;3.28;215;mixed;orga;55
44;197.5;65448;2350460.2;840354;1279132.354;10307.21818;1753246;4.35;3.37;233;mixed;conv;
45;176.6;39259;2731550.6;1341155;962824.2619;9411.075255;1578864;3.87;3.22;198;large;orga;38
46;280;139426;3649633.4;1387000;1122222.241;8468.000679;3004000;3.83;3.22;264;large;orga;39
47;167;118921;1936512.5;1066528;710973.0559;9054.682455;1428025;4.01;3.3;116;mixed;conv;
48;191.6;119967;1742295;974555;628053.2302;8412.9262;1246482;6;3.97;241;jersey;conv;30
49;189;97757;2199328.3;1059416;1241902.496;9959.405344;1595556;4.88;3.55;223;mixed;conv;
50;344.5;203206;3380041.7;1582000;1232688.243;8750.433033;2864327;4.29;3.35;218;large;conv;
51;165;107635;1992361.4;852500;1053939.574;9118.512667;1362000;4.27;3.48;185;mixed;conv;
52;295.2;39835;2465048.6;1444481;977364.6334;8510.985772;2225478;4.3;3.47;274;large;conv;51
53;309;231264;4348396.1;1634037;1204344.427;9182.789806;2465855;4.13;3.35;236;large;orga;
54;124;112364;1604645.7;1116612;854050.5564;9349.350806;1218940;4.3;3.38;248;large;conv;
